name,type,growth_tier,crash_growth,recovery_rank,exp_growth_18m,P(>25% fall),recover_6m_if_falls_by18m,recover_12m_if_falls_by18m,recover_18m_if_falls_by18m,recover_by_1y_if_falls,recover_by_2y_if_falls,recover_by_3y_if_falls,gt3y_tail_unconditional,permanence_factor,true_permanent_loss,perm_vs_SP_multiple,reward_vs_SP,reward_vs_SCHD,growth_per_fall,delta_tail_30d
QQQ (Nasdaq-100),ETF,Moderate,secular,diversified / safe (buyback earn-back),0.16,0.379,0.056,0.144,0.222,0.144,0.284,0.368,0.239,0.08,0.019,1.2,1.44,1.55,0.42,-0.001
HubSpot,stock,Moderate,secular,diversified / safe (buyback earn-back),0.16,0.604,0.1,0.229,0.313,0.229,0.371,0.444,0.336,0.42,0.141,1.7,1.03,1.11,0.26,-0.0
VGT (Info Tech),ETF,Moderate,secular,diversified / safe (buyback earn-back),0.15,0.386,0.057,0.15,0.232,0.15,0.292,0.375,0.241,0.12,0.029,1.2,1.34,1.44,0.39,-0.0
ASML Holding,stock,Moderate,secular,diversified / safe (buyback earn-back),0.15,0.556,0.095,0.22,0.304,0.22,0.365,0.443,0.309,0.3,0.093,1.6,1.05,1.13,0.27,-0.0
Amphenol,stock,Moderate,secular,diversified / safe (buyback earn-back),0.15,0.526,0.078,0.191,0.275,0.191,0.335,0.413,0.308,0.35,0.108,1.6,1.05,1.13,0.29,
Cameco,stock,Moderate,secular,diversified / safe (buyback earn-back),0.15,0.539,0.073,0.178,0.258,0.178,0.314,0.389,0.329,0.45,0.148,1.7,0.98,1.06,0.28,
Aehr Test Systems,stock,Moderate,secular,diversified / safe (buyback earn-back),0.15,0.784,0.178,0.334,0.42,0.334,0.476,0.544,0.358,0.6,0.215,1.8,0.9,0.97,0.19,0.007
Microsoft,stock,Safe,secular,diversified / safe (buyback earn-back),0.14,0.408,0.081,0.217,0.315,0.217,0.388,0.48,0.212,0.3,0.064,1.1,1.42,1.53,0.34,-0.001
DTCR (Data Ctr Infra),ETF,Safe,secular,diversified / safe (buyback earn-back),0.14,0.322,0.036,0.098,0.159,0.098,0.214,0.295,0.227,0.15,0.034,1.2,1.33,1.43,0.44,-0.001
MongoDB,stock,Safe,secular,diversified / safe (buyback earn-back),0.14,0.624,0.084,0.201,0.281,0.201,0.332,0.4,0.374,0.45,0.168,1.9,0.81,0.87,0.22,0.0
Elastic,stock,Safe,secular,diversified / safe (buyback earn-back),0.14,0.593,0.104,0.236,0.322,0.236,0.382,0.454,0.324,0.42,0.136,1.7,0.93,1.0,0.24,-0.001
Pure Storage,stock,Safe,secular,diversified / safe (buyback earn-back),0.14,0.579,0.103,0.228,0.314,0.228,0.374,0.454,0.316,0.42,0.133,1.6,0.95,1.03,0.24,0.0
Palo Alto Networks,stock,Safe,secular,diversified / safe (buyback earn-back),0.14,0.518,0.07,0.175,0.251,0.175,0.309,0.381,0.321,0.32,0.103,1.7,0.94,1.01,0.27,
Freshworks,stock,Safe,secular,diversified / safe (buyback earn-back),0.14,0.56,0.086,0.208,0.294,0.208,0.353,0.427,0.32,0.5,0.16,1.7,0.94,1.02,0.25,
Marvell peer / Sanmina,stock,Safe,secular,diversified / safe (buyback earn-back),0.14,0.537,0.101,0.232,0.323,0.232,0.39,0.469,0.285,0.5,0.143,1.5,1.06,1.14,0.26,
Texas Instruments,stock,Safe,cyclical,cyclical — needs TAM rebound,0.13,0.465,0.0,0.156,0.236,0.156,0.299,0.38,0.288,0.38,0.11,1.5,0.97,1.05,0.28,-0.0
Amazon,stock,Safe,secular,diversified / safe (buyback earn-back),0.13,0.577,0.131,0.284,0.379,0.284,0.443,0.524,0.275,0.32,0.088,1.4,1.02,1.1,0.23,-0.001
Nutanix,stock,Safe,secular,diversified / safe (buyback earn-back),0.13,0.558,0.094,0.216,0.303,0.216,0.363,0.439,0.313,0.4,0.125,1.6,0.89,0.96,0.23,
Dynatrace,stock,Safe,secular,diversified / safe (buyback earn-back),0.13,0.524,0.081,0.196,0.28,0.196,0.339,0.417,0.305,0.38,0.116,1.6,0.92,0.99,0.25,
Veeva Systems,stock,Safe,secular,diversified / safe (buyback earn-back),0.13,0.449,0.057,0.153,0.231,0.153,0.288,0.364,0.285,0.32,0.091,1.5,0.98,1.06,0.29,
Workday,stock,Safe,secular,diversified / safe (buyback earn-back),0.13,0.504,0.088,0.213,0.298,0.213,0.362,0.444,0.28,0.38,0.106,1.4,1.0,1.08,0.26,
Vertiv peer nLight,stock,Safe,secular,diversified / safe (buyback earn-back),0.13,0.755,0.138,0.277,0.357,0.277,0.412,0.48,0.393,0.6,0.236,2.0,0.71,0.77,0.17,
Comfort Systems USA,stock,Safe,secular,diversified / safe (buyback earn-back),0.13,0.566,0.105,0.236,0.325,0.236,0.389,0.469,0.3,0.5,0.15,1.5,0.93,1.01,0.23,
Dycom Industries,stock,Safe,secular,diversified / safe (buyback earn-back),0.13,0.536,0.099,0.234,0.325,0.234,0.393,0.476,0.281,0.5,0.141,1.4,1.0,1.07,0.24,
Alphabet,stock,Safe,secular,diversified / safe (buyback earn-back),0.12,0.418,0.063,0.176,0.264,0.176,0.331,0.42,0.242,0.3,0.073,1.2,1.07,1.15,0.29,-0.001
Lam Research,stock,Safe,secular,diversified / safe (buyback earn-back),0.12,0.555,0.108,0.247,0.34,0.247,0.404,0.488,0.284,0.4,0.114,1.5,0.91,0.98,0.22,-0.0
KLA Corporation,stock,Safe,secular,diversified / safe (buyback earn-back),0.12,0.543,0.1,0.236,0.325,0.236,0.389,0.472,0.287,0.4,0.115,1.5,0.9,0.97,0.22,-0.001
