name,type,growth_tier,crash_growth,recovery_rank,exp_growth_18m,P(>25% fall),recover_6m_if_falls_by18m,recover_12m_if_falls_by18m,recover_18m_if_falls_by18m,recover_by_1y_if_falls,recover_by_2y_if_falls,recover_by_3y_if_falls,gt3y_tail_unconditional,permanence_factor,true_permanent_loss,perm_vs_SP_multiple,reward_vs_SP,reward_vs_SCHD,growth_per_fall,delta_tail_30d
ON Semiconductor,stock,Safe,secular,diversified / safe (buyback earn-back),0.05,0.596,0.14,0.295,0.395,0.295,0.459,0.542,0.273,0.5,0.137,1.4,0.39,0.42,0.08,-0.006
Vishay Intertechnology,stock,Safe,secular,diversified / safe (buyback earn-back),0.05,0.505,0.08,0.198,0.286,0.198,0.349,0.429,0.289,0.5,0.144,1.5,0.37,0.4,0.1,
Wolfspeed,stock,Safe,secular,diversified / safe (buyback earn-back),0.05,0.831,0.189,0.34,0.426,0.34,0.478,0.547,0.377,0.7,0.264,1.9,0.29,0.31,0.06,-0.004
Flex Ltd,stock,Safe,secular,diversified / safe (buyback earn-back),0.05,0.5,0.103,0.245,0.346,0.245,0.411,0.497,0.251,0.5,0.126,1.3,0.43,0.46,0.1,
Hubbell Incorporated,stock,Safe,secular,diversified / safe (buyback earn-back),0.05,0.428,0.059,0.165,0.245,0.165,0.309,0.392,0.26,0.4,0.104,1.3,0.41,0.45,0.12,
Schneider peer / Generac,stock,Safe,secular,diversified / safe (buyback earn-back),0.05,0.515,0.112,0.254,0.353,0.254,0.424,0.512,0.251,0.45,0.113,1.3,0.43,0.46,0.1,
Amdocs,stock,Safe,secular,diversified / safe (buyback earn-back),0.05,0.307,0.042,0.142,0.225,0.142,0.299,0.391,0.187,0.35,0.065,1.0,0.58,0.62,0.16,
Nvidia peer / Intel,stock,Safe,secular,diversified / safe (buyback earn-back),0.04,0.589,0.09,0.206,0.29,0.206,0.348,0.42,0.341,0.5,0.171,1.8,0.25,0.27,0.07,
Sanmina peer / Benchmark,stock,Safe,secular,diversified / safe (buyback earn-back),0.04,0.5,0.103,0.241,0.336,0.241,0.4,0.487,0.256,0.5,0.128,1.3,0.34,0.36,0.08,
CDW Corporation,stock,Safe,secular,diversified / safe (buyback earn-back),0.04,0.428,0.069,0.187,0.279,0.187,0.343,0.434,0.242,0.4,0.097,1.2,0.36,0.38,0.09,
Pure peer / NetApp,stock,Safe,secular,diversified / safe (buyback earn-back),0.04,0.438,0.087,0.218,0.314,0.218,0.382,0.469,0.232,0.42,0.098,1.2,0.37,0.4,0.09,
Switch peer / Cyxtera,stock,Safe,secular,diversified / safe (buyback earn-back),0.04,0.383,0.029,0.093,0.155,0.093,0.204,0.275,0.278,0.4,0.111,1.4,0.31,0.33,0.1,
Emerson Electric,stock,Safe,secular,diversified / safe (buyback earn-back),0.04,0.457,0.075,0.19,0.278,0.19,0.344,0.43,0.26,0.35,0.091,1.3,0.33,0.36,0.09,
Akamai Technologies,stock,Safe,secular,diversified / safe (buyback earn-back),0.04,0.371,0.065,0.178,0.272,0.178,0.34,0.435,0.209,0.4,0.084,1.1,0.41,0.44,0.11,
Pegasystems,stock,Safe,secular,diversified / safe (buyback earn-back),0.04,0.522,0.096,0.224,0.312,0.224,0.377,0.457,0.284,0.42,0.119,1.5,0.3,0.33,0.08,-0.002
Photronics,stock,Safe,secular,diversified / safe (buyback earn-back),0.03,0.517,0.117,0.264,0.362,0.264,0.427,0.514,0.251,0.5,0.126,1.3,0.26,0.28,0.06,-0.002
Cirrus Logic,stock,Safe,secular,diversified / safe (buyback earn-back),0.03,0.518,0.114,0.256,0.354,0.256,0.421,0.509,0.254,0.5,0.127,1.3,0.25,0.27,0.06,
American Tower,stock,Safe,secular,diversified / safe (buyback earn-back),0.03,0.389,0.029,0.093,0.156,0.093,0.206,0.27,0.284,0.35,0.099,1.5,0.23,0.25,0.08,
Verint Systems,stock,Safe,secular,diversified / safe (buyback earn-back),0.03,0.536,0.127,0.282,0.377,0.282,0.443,0.53,0.252,0.5,0.126,1.3,0.26,0.28,0.06,
Skyworks Solutions,stock,Safe,secular,diversified / safe (buyback earn-back),0.02,0.483,0.095,0.233,0.33,0.233,0.398,0.486,0.248,0.5,0.124,1.3,0.17,0.19,0.04,-0.002
Axcelis Technologies,stock,Safe,secular,diversified / safe (buyback earn-back),0.02,0.645,0.162,0.326,0.422,0.326,0.483,0.562,0.283,0.5,0.142,1.5,0.15,0.16,0.03,
Oklo,stock,Safe,secular,diversified / safe (buyback earn-back),0.0,0.855,0.189,0.339,0.421,0.339,0.473,0.539,0.394,0.72,0.284,2.0,,,0.0,-0.002
Qorvo,stock,Safe,secular,diversified / safe (buyback earn-back),-0.02,0.577,0.13,0.283,0.38,0.283,0.445,0.529,0.272,0.5,0.136,1.4,-0.16,-0.17,-0.03,-0.002
SOXL (3x Semis),ETF,Trading,secular,,0.6,0.997,0.309,0.459,0.532,0.459,0.579,0.634,0.365,0.55,0.201,1.9,3.54,3.82,0.6,-0.003
TECL (3x Tech),ETF,Trading,secular,,0.5,0.973,0.293,0.447,0.52,0.447,0.568,0.623,0.367,0.55,0.202,1.9,2.94,3.17,0.51,-0.004
TQQQ (3x NDX),ETF,Trading,secular,,0.45,0.973,0.293,0.447,0.52,0.447,0.568,0.623,0.367,0.55,0.202,1.9,2.64,2.85,0.46,-0.004
